             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          26190660 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190659 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190658 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190657 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190656 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190655 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190654 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190653 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190652 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190651 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190650 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190649 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190648 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190647 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190646 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190645 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190644 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190643 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190642 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190641 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190640 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190639 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190638 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190637 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190636 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190635 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190634 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190633 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190632 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190631 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190630 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190629 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190628 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190627 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190626 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190625 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190624 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190623 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190622 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190621 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190620 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190619 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190618 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190617 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190616 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190615 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190614 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190613 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190612 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190611 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190610 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190609 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190608 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190607 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190606 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190605 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190604 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190603 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190602 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190591 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190590 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190589 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190588 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190586 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190585 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190584 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190583 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190582 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190581 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190580 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190579 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190578 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190577 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190576 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190575 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190574 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190573 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190572 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190571 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190570 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190569 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190568 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190567 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190566 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190565 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190564 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190563 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190562 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190561 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190560 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190559 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190558 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190557 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190556 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190555 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190554 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190553 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190552 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190551 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190550 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190549 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190548 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190547 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190546 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190545 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190544 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190543 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190542 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190866 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190865 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190864 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190863 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190862 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190861 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190860 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190859 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190858 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190857 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190856 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190855 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190854 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190853 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190852 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190851 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190850 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190849 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190848 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190847 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190846 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190845 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190844 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190843 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190842 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190841 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190840 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190839 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190838 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190837 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190836 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190835 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190834 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190833 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190832 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190831 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190830 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190829 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190828 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190827 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190826 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190825 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190824 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190823 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190822 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190821 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190820 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190819 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190818 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190817 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190816 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190815 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190814 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190813 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190812 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190811 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190810 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190809 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190808 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190807 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190806 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190805 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190804 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190803 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190802 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190801 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190800 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190791 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190790 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190789 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190788 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190787 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190786 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190785 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190784 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190783 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190782 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
          26190781 short,nor b7f25d98 bjarkemp PD       0:00      1 (Priority)
